Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Replicate,Sample Name,SRA Study
SRR6915091,WGS,198,3192490905,PRJNA447983,SAMN08813994,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1558295242,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",human,digestive system,stool,SRX3862919,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF114,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 75,VF114,SRP136711
SRR6915098,WGS,198,9415204354,PRJNA447983,SAMN08814033,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4552374933,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",human,digestive system,stool,SRX3862912,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF208,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 114,VF208,SRP136711
SRR6915100,WGS,198,8069908204,PRJNA447983,SAMN08814043,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3825673547,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",human,digestive system,stool,SRX3862910,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF206,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 124,VF206,SRP136711
SRR6915105,WGS,198,3006599760,PRJNA447983,SAMN08813975,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1463042809,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",human,digestive system,stool,SRX3862905,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ25C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 56,SBJ25C,SRP136711
SRR6915107,WGS,198,2249748272,PRJNA447983,SAMN08813949,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1080604060,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",human,digestive system,stool,SRX3862903,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ22C,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 30,SBJ22C,SRP136711
SRR6915110,WGS,198,2634209575,PRJNA447983,SAMN08813964,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1265839941,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",human,digestive system,stool,SRX3862900,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ18H,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 45,SBJ18H,SRP136711
SRR6915112,WGS,198,4232924418,PRJNA447983,SAMN08813923,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2037754787,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",human,digestive system,stool,SRX3862898,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ16H,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 4,SBJ16H,SRP136711
SRR6915117,WGS,198,4594875126,PRJNA447983,SAMN08813947,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2274674181,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2016-01-11,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",human,digestive system,stool,SRX3862893,Italy,Europe,Italy: Milan,Homo sapiens,Illumina HiSeq 2500,45.414028 N 9.208268 E,SBJ73H,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 28,SBJ73H,SRP136711
SRR6915119,WGS,198,4080726893,PRJNA447983,SAMN08813999,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2016017530,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",human,digestive system,stool,SRX3862891,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF174,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 80,VF174,SRP136711
SRR6915121,WGS,198,7513810634,PRJNA447983,SAMN08814057,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3736251381,ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS,2017-02-12,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",human,digestive system,stool,SRX3862889,Italy,Europe,Italy: Vercelli,Homo sapiens,Illumina HiSeq 2500,45.312990 N 8.422263 E,VF189,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2018-08-14T00:00:00Z,replicate = biological replicate 138,VF189,SRP136711
