Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA Study,Submitter_Id
ERR275251,WGS,202,3014779704,PRJEB1786,SAMEA1906535,2200648523,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,s3,ena","s3.us-east-1,gs.US,ena",2013-05-21,2013-05-16,2018-11-16,2021-03-19,ERX249573,SAMEA1906535,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-06-05T00:00:00Z,SAMEA1906535,81,ERP002469,81
ERR275252,WGS,202,3603680606,PRJEB1786,SAMEA1906554,2644290139,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","ena,gs","ena,gs.US",2013-05-21,2013-05-16,2018-11-16,2021-03-19,ERX249574,SAMEA1906554,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-06-05T00:00:00Z,SAMEA1906554,82,ERP002469,82
ERR260132,WGS,202,2756179910,PRJEB1786,SAMEA1906452,1946953783,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,s3,ena","gs.US,ena,s3.us-east-1",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234720,SAMEA1906452,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906452,1,ERP002469,1
ERR260133,WGS,202,2664136590,PRJEB1786,SAMEA1906536,1816728601,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ena,s3","gs.US,s3.us-east-1,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234721,SAMEA1906536,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906536,2,ERP002469,2
ERR260134,WGS,202,14947398242,PRJEB1786,SAMEA1906542,10496273654,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","ena,gs,s3","s3.us-east-1,gs.US,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234722,SAMEA1906542,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906542,3,ERP002469,3
ERR260135,WGS,202,13981314860,PRJEB1786,SAMEA1906527,10216778282,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ena,s3","s3.us-east-1,ena,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234723,SAMEA1906527,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906527,4,ERP002469,4
ERR260136,WGS,202,2589449312,PRJEB1786,SAMEA1906516,1795878047,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ena,s3","s3.us-east-1,ena,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234724,SAMEA1906516,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906516,5,ERP002469,5
ERR260137,WGS,202,1942446342,PRJEB1786,SAMEA1906573,1380947848,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,ena,gs","s3.us-east-1,gs.US,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234725,SAMEA1906573,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906573,6,ERP002469,6
ERR260138,WGS,202,3430913238,PRJEB1786,SAMEA1906552,2408785602,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ena,s3","ena,s3.us-east-1,gs.US",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234726,SAMEA1906552,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:44Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906552,7,ERP002469,7
ERR260139,WGS,202,2036676514,PRJEB1786,SAMEA1906465,1429558409,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ena,s3","s3.us-east-1,gs.US,ena",2013-05-16,2013-05-16,2018-11-16,2021-03-19,ERX234727,SAMEA1906465,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2021-03-19T12:07:43Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906465,8,ERP002469,8
