Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Month,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Subject
SRR5651391,WGS,200,647139014,PRJNA385949,SAMN07200328,Metagenome or environmental,371417934,BROAD INSTITUTE,2013,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX2888364,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST006_6_G102964,PAIRED,RANDOM,METAGENOMIC,6,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:18:00Z,1,SKST006_6_G102964,SRP108708,SKST006
SRR5651392,WGS,199,112812111,PRJNA385949,SAMN07200329,Metagenome or environmental,65459783,BROAD INSTITUTE,2013,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2888363,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST006_7_G102965,PAIRED,RANDOM,METAGENOMIC,7,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:17:00Z,1,SKST006_7_G102965,SRP108708,SKST006
SRR5651393,WGS,199,1203906363,PRJNA385949,SAMN07200326,Metagenome or environmental,715559013,BROAD INSTITUTE,2013,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX2888362,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST006_4_G102962,PAIRED,RANDOM,METAGENOMIC,4,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:19:00Z,1,SKST006_4_G102962,SRP108708,SKST006
SRR5651394,WGS,199,829324141,PRJNA385949,SAMN07200327,Metagenome or environmental,491006730,BROAD INSTITUTE,2013,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX2888361,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST006_5_G102963,PAIRED,RANDOM,METAGENOMIC,5,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:19:00Z,1,SKST006_5_G102963,SRP108708,SKST006
SRR5651395,WGS,198,1295022367,PRJNA385949,SAMN07200324,Metagenome or environmental,762276315,BROAD INSTITUTE,2013,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2888360,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST006_2_G102960,PAIRED,RANDOM,METAGENOMIC,2,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:20:00Z,1,SKST006_2_G102960,SRP108708,SKST006
SRR5651396,WGS,198,862893635,PRJNA385949,SAMN07200325,Metagenome or environmental,523630996,BROAD INSTITUTE,2013,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX2888359,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST006_3_G102961,PAIRED,RANDOM,METAGENOMIC,3,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:19:00Z,1,SKST006_3_G102961,SRP108708,SKST006
SRR5651397,WGS,199,728956828,PRJNA385949,SAMN07200322,Metagenome or environmental,432557258,BROAD INSTITUTE,2013,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX2888358,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST006_10_G102994,PAIRED,RANDOM,METAGENOMIC,10,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:18:00Z,1,SKST006_10_G102994,SRP108708,SKST006
SRR5651398,WGS,199,1154090908,PRJNA385949,SAMN07200323,Metagenome or environmental,683416050,BROAD INSTITUTE,2013,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX2888357,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST006_1_G102959,PAIRED,RANDOM,METAGENOMIC,1,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:19:00Z,1,SKST006_1_G102959,SRP108708,SKST006
SRR5651399,WGS,197,928144,PRJNA385949,SAMN07200330,Metagenome or environmental,648488,BROAD INSTITUTE,2013,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX2888356,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST006_8_G102991,PAIRED,RANDOM,METAGENOMIC,8,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:16:00Z,1,SKST006_8_G102991,SRP108708,SKST006
SRR5651400,WGS,199,221173810,PRJNA385949,SAMN07200331,Metagenome or environmental,129965256,BROAD INSTITUTE,2013,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX2888355,USA,North America,USA:Atlanta,Illumina HiSeq 2000,stool,33.7921 N 84.3214 W,SKST006_9_G103014,PAIRED,RANDOM,METAGENOMIC,9,human gut metagenome,ILLUMINA,2017-12-13T00:00:00Z,2017-06-07T10:17:00Z,1,SKST006_9_G103014,SRP108708,SKST006
